"19,800,654"
"24,500,000"
"15,384,000"
"22,500,000"
"10,018,000"
"10,670,000"
"14,677,122"
"15,500,000"
"8,627,500"
"7,067,900"
"12,357,938"
"8,216,000"
"8,255,921"
"12,000,000"
"5,346,708"
"4,330,000"
"8,220,937"
"6,642,592"
"6,188,100"
"6,107,475"
"5,288,800"
"7,197,394"
"4,253,627"
"2,707,294"
"2,357,838"
"4,087,733"
"3,426,522"
"2,861,784"
"3,583,429"
"3,542,319"
"3,531,347"
"3,530,115"
"3,491,597"
"2,980,800"
"3,352,076"
"3,290,548"
"1,902,500"
"3,187,171"
"2,273,326"
"3,437,171"
"3,142,300"
"3,037,159"
"3,029,372"
"2,633,420"
"3,053,778"
"2,600,200"
"2,492,325"
"2,399,079"
"2,344,507"
"1,544,084"
"1,113,321"
"2,046,189"
"2,038,400"
"2,070,801"
"1,436,599"
"1,146,761"
"1,980,774"
"1,975,803"
"1,953,801"
"1,666,826"
"959,303"
"1,870,600"
"1,858,875"
"1,925,948"
"1,822,640"
"1,811,732"
"1,157,891"
"1,768,947"
"1,735,500"
"1,647,642"
"1,778,583"
"1,737,517"
"1,615,717"
"1,612,300"
"1,603,700"
"764,571"
"1,594,829"
"1,562,530"
"1,481,637"
"1,521,600"
"1,290,170"
"1,510,103"
"1,468,061"
"1,462,383"
"1,458,536"
"1,458,036"
"1,437,802"
"1,437,686"
"1,649,825"
"1,409,436"
"941,427"
"676,464"
"1,366,800"
"741,531"
"1,362,062"
"1,356,987"
"1,355,331"
"738,128"
"1,411,380"
"1,346,700"
"1,333,526"
"975,638"
"2,199,689"
"1,293,877"
"1,267,066"
"1,265,536"
"1,251,095"
"1,248,414"
"1,235,476"
"1,234,838"
"644,045"
"1,229,959"
"1,229,800"
"1,217,715"
"1,201,900"
"1,200,400"
"1,198,304"
"1,197,174"
"1,430,289"
"1,178,873"
"740,925"
"1,165,182"
"1,307,042"
"1,157,900"
"688,876"
"1,154,086"
"1,139,400"
"1,131,819"
"1,126,790"
"1,116,700"
"1,115,300"
"1,095,189"
"1,091,799"
"1,493,874"
"1,086,200"
"1,077,300"
"1,135,166"
"1,073,921"
"1,064,200"
"1,055,373"
"1,049,831"
"1,048,672"
"1,033,975"
"1,029,670"
"1,028,800"
"1,094,294"
"1,010,295"
"1,005,500"
"1,004,741"
"1,003,626"
"756,700"
"1,232,133"
"1,298,500"
"972,784"
"972,525"
"965,154"
"960,418"
"947,499"
"946,600"
"945,420"
"944,050"
"920,610"
"908,200"
"907,598"
"1,047,020"
"2,125,136"
"896,057"
"883,800"
"881,711"
"877,682"
"868,066"
"1,865,356"
"1,143,078"
"843,000"
"836,383"
"396,795"
"798,364"
"787,177"
"780,514"
"777,682"
"753,194"
"709,700"
"705,649"
"686,848"
"679,600"
"676,858"
"328,555"
"655,738"
"655,631"
"637,617"
"617,277"
"592,381"
"1,417,567"
"562,321"
"536,793"
"535,657"
"668,085"
"505,139"
"489,232"
"467,875"
"452,472"
"451,400"
"279,074"
"261,445"
"190,064"
"155,540"
